bug_reason,anomaly_score,bug_reason,block_number,transaction_id,transaction_mismatch,fee_ratio,success_rate
low_success_rate,2,low_success_rate,134504574.0,tx00000000,0.0,0.0,0.0
low_success_rate,2,low_success_rate,134504537.0,tx00000037,0.0,1.0,-1.0
low_success_rate,2,low_success_rate,134504547.0,tx00000027,0.0,-0.0,0.0
low_success_rate,2,low_success_rate,134504546.0,tx00000028,0.0,-0.0,0.0
low_success_rate,2,low_success_rate,134504545.0,tx00000029,0.0,-0.0,0.0
low_success_rate,2,low_success_rate,134504544.0,tx00000030,0.0,-0.0,0.0
low_success_rate,2,low_success_rate,134504543.0,tx00000031,0.0,-0.0,0.0
low_success_rate,2,low_success_rate,134504542.0,tx00000032,0.0,1.0,-1.0
low_success_rate,2,low_success_rate,134504541.0,tx00000033,0.0,1.0,-1.0
low_success_rate,2,low_success_rate,134504540.0,tx00000034,0.0,1.0,-1.0
